,,,,,
,,,,,
7/11/20 16:22, TheAaryanKartik where will you travel first once this gets over , BhutanTripAdv , ,5908,Thimphu 
7/10/20 1:18, WamrongCaseUpdates xe2 x80 x9dResponsible media scrutiny is beneficial because it usually provides an external check on police prosecutors and judicial authorities and guards against miscarriages of justice xe2 x80 x9d notable insight from Wamrong Dungkhag Court , sonamwangs , WamrongCaseUpdates ,56,Thimphu 
7/10/20 1:11, LexyTopping Awww Thank you Lexy xf0 x9f xa5 xb0 , namgayzam , ,22831,Thimphu 
7/9/20 23:35, ohnips Wahh I m Cani and I like designing and drawing original characters I m still developing a style and figuring out my art but https t co c5lCl4Sp8O , Caniiibal , ,119,Thimpu 
7/9/20 19:14, Dafuq TottenhamHotspur Everything has become predictable Final day of my final exam tomorrow I wish I get the 2hrs I spent watching back , Tobgay333 , TottenhamHotspur ,39,Thimphu 
7/9/20 19:07, NathanBaconFC Spurs failed to register a single shot on target against 19th placed Bournemouth Should be shameful to be called BIG 6 in EPL xf0 x9f xa4 xad , DeependraKoira5 , ,19,Thimphu 
7/9/20 18:57, i hate twitter crops there s no difference in these pics lt 3 Eddie sweetest monster boy ArtistOnTwitter art originalcharacter Monster https t co xmDdZIUfhV , Caniiibal , ArtistOnTwitter art originalcharacter Monster ,119,Thimpu 
7/9/20 16:36, Uroosa21 good night dear Uroosa sweet dreams https t co RknOKCd0xJ , SyedSaa1 , ,1572,Thimphu 
7/9/20 16:22, Not worried about China xe2 x80 x99s new dispute claim on Bhutan xe2 x80 x99s eastern border 1 We don xe2 x80 x99t share a border there with China 2 China will have to launch a full military invasion of India to even reach there 3 All official Chinese maps show it as Bhutanese territory 4 No basis https t co 9TUExxm67I , TenzingLamsang , ,23656,Thimphu 
7/9/20 15:48, 26 Foreign workers apprehended at Pasakha Phuentsholing Dept of Immigration https t co gFu3ZCLoM3 , business bhutan , ,10466,Thimphu 
7/9/20 15:08, The hotstone bath is a traditional Bhutanese well being experience that is very popular with visitors It is easy to replicate the relaxing experience at home by using 6 8 drops of artemisia essentialoil mixed with a carrier oil in your bath Photo courtesy of Uma by Como https t co TYtSux2AwW , tasteofbhutan , hotstone artemisia essentialoil ,1,Thimphu 
7/9/20 15:03, Siimply Kimly Nuu don t , uchiha soma , ,65,Thimphu 
7/9/20 15:01, TenzingLamsang While the US is playing the Knight China is fidgeting its pawn , TingKarr8 , ,28,Thimphu 
7/9/20 14:51, Listen more talk less Anonymous https t co 2Tql1RCiva , TingKarr8 , ,28,Thimphu 
7/9/20 14:50, xe2 x80 x9cAccording to the court public institutions amp public figures must embrace public criticisms constructively xe2 x80 x9d Wow Monggar Drangpon you give me hope xf0 x9f x99 x8f xf0 x9f x8f xbc , namgayzam , ,22831,Thimphu 
7/9/20 14:49, xe2 x80 x9cThe court also noted that responsible media scrutiny is beneficial because it usually provides an external check on police prosecutors amp judicial authorities amp guards against miscarriages of justice xe2 x80 x9d , namgayzam , ,22831,Thimphu 
7/9/20 14:48, Update The Judge overruled the prosecutor xe2 x80 x99s request to summon me today Heartened that he has been progressive fair and has acted in accordance with the law Name same kadrinchela xf0 x9f x99 x8f xf0 x9f x8f xbc https t co gnsN3Mmt7I , namgayzam , ,22831,Thimphu 
7/9/20 14:22, archon1410 We are incredibly progressive don xe2 x80 x99t get me wrong But we can definitely do better , namgayzam , ,22831,Thimphu 
7/9/20 13:19, MrsCie DK Omg you sure seem to have plenty of them xf0 x9f x90 x8c , DziJ , ,1688,Thimphu 
7/9/20 12:59, PM xe2 x80 x99s inaugural address at India Global Week 2020 https t co IzEpdFZSf7 MEAIndia IndianDiplomacy KuenselOnline BBSBhutan , Indiainbhutan , ,10296,Thimphu 
7/9/20 12:56, This gameweek is indeed going disheartening My team review Patricio and Doherty CS wipeout last time Having mane instead of Salah xf0 x9f xa5 xba xf0 x9f xa4 xa8 , DeependraKoira5 , ,19,Thimphu 
7/9/20 12:53, Siimply Kimly I already saw you and your video , uchiha soma , ,65,Thimphu 
7/9/20 12:40, Omg So close to Bhutan I xe2 x80 x99m getting ideas for my friends xf0 x9f xa5 xb0 https t co 5uDgO1ZuoE , namgayzam , ,22831,Thimphu 
7/9/20 12:29, sowfflll MrsCie DK Good luck to you can post pictures for you xf0 x9f xa4 xa3 xf0 x9f xa4 xa3 xf0 x9f xa4 xa3 , DziJ , ,1688,Thimphu 
7/9/20 12:22, sowfflll MrsCie DK According to google rimpoche we do have hedgehogs xf0 x9f x98 x8a they resemble porcupine and a rodent I saw a dead hedgehog xf0 x9f xa6 x94 in south Bhutan , DziJ , ,1688,Thimphu 
7/9/20 11:28, Our dear Health Minister leading by example xf0 x9f x99 x8f xf0 x9f x8f xbc ourgyenkhu https t co 6GXZcvtyMB , namgayzam , ourgyenkhu ,22831,Thimphu 
7/9/20 11:18, I dont want anyone to see my face and i am doing my best to hide it well soawkward , its Astrophile , soawkward ,4,Thimphu 
7/9/20 11:15, I don t know what actually anxiety is but i definitely see that my hands are shaking Crowd and unknown faces make me blue , its Astrophile , ,4,Thimphu 
7/9/20 11:09, PKMBalways You cannot switch parties under any circumstances , TenzingLamsang , ,23656,Thimphu 
7/9/20 11:06, Domestic MP buying or horse trading is a part and parcel of South Asian politics bar Bhutan whose laws do not allow it but in the case of Nepal it is truly an international sport with potential international buyers in the region who will buy wholesale starting from the top https t co iN4gpviAPO , TenzingLamsang , ,23656,Thimphu 
7/9/20 10:52, I definitely hate waiting Never seen a line so lonnnnnnnnggggg xf0 x9f xa4 xa2 , its Astrophile , ,4,Thimphu 
7/9/20 10:41, PM narendramodi addressing India Global Week organised by IndiaIncorp BeTheRevival IGW2020 https t co 8isx4uC84L , Indiainbhutan , BeTheRevival IGW2020 ,10296,Thimphu 
7/9/20 10:40, Thursday Special Blessings from Ap Gaynyen Jagpa Melan for the well being of All Sentient Beings xf0 x9f x99 x8f xf0 x9f x99 x8f xf0 x9f x99 x8f Happy to meet my niece Sonam C Retty amp Family Husband Thinley Tenzin and Son Handsome Rabsel xe2 x80 xa6 https t co tZzH6trJQE , bhutan majestic , ,1130,Thimphu 
7/9/20 10:28, With the epidemic and cancellation of all national and international tournaments ArcheryBhutan is preparing for another virtual tournament with SEISA Group in collaboration with Japanese National Archers and Bhutanese national archers to be engaged and motivated xf0 x9f x8f xb9 xf0 x9f x99 x8f https t co AbAXuVl7bo , BhutanOlympic , ,842,Thimphu 
7/9/20 10:21, Happening now xe2 x81 xa6 UNDP xe2 x81 xa9 Bhutan xe2 x80 x99s xe2 x81 xa6 AzusaKubota xe2 x81 xa9 and Karma Yonten of xe2 x81 xa6 way greener xe2 x81 xa9 discuss waste management in Bhutan on BhutanDialogues xe2 x81 xa6 lodenfoundation xe2 x81 xa9 xe2 x81 xa6 unbhutan xe2 x81 xa9 https t co vAhnkoqie1 , UNDP Bhutan , Bhutan BhutanDialogues ,1650,Bhutan 
7/9/20 10:15, Again no work till xe2 x80 x9dfurther notice xe2 x80 x9d seems like nowadays I like to hear that word again and again xf0 x9f xa4 xaa xf0 x9f xa4 xaa xf0 x9f xa4 xaa , SonamZa75499076 , ,2,Bhutan 
7/9/20 9:54, Same https t co n9r3a3YFHz , namgayzam , ,22831,Bhutan 
7/9/20 8:58, Very true People buy clothes for one time wear Need to think twice before you buy Just because you can buy doesn t mean you have to https t co KGs6rO1rWD , pradhan557 , ,256,Thimphu 
7/9/20 8:55, Good to see youth getting involved in waste management Hope they continue to make good use of what they learn https t co E1WK3nwB5x , pradhan557 , ,256,Thimphu 
7/9/20 8:42, BBS Radio Article 11 The National Council Section 1 to Section 6 https t co PxKfHqAMj5 , BBSBhutan , ,51164,Thimphu 
7/9/20 8:31, The enigma of having a furry buddy https t co JiR6uApQWR , BrezzyNemo , ,15,Thimphu 
7/9/20 8:05, ashesh065 How do you interpret a demarche sent by Bhutan to China against territorial encroachment as xe2 x80 x98neutrality xe2 x80 x99 We have no confusions about where our territory lies , TenzingLamsang , ,23656,Thimphu 
7/9/20 7:27, AnannyaB1 Will welcome you with open arms , namgayzam , ,22831,Thimphu 
7/9/20 7:22, FplSkyWalker Seems so xf0 x9f x98 x82 , DeependraKoira5 , ,19,Thimphu 
7/9/20 7:17, FPLNym Captain should be kept same all season xf0 x9f x99 x82 , DeependraKoira5 , ,19,Thimphu 
7/9/20 7:01, Be a good listener when a family member comes to you in need t More for Sagittarius https t co FfKav1h4Nc , kintsho bht , ,30,Thimphu 
7/9/20 7:01, Talking with friends could really help to release some of your More for Taurus https t co EECfQYA8HL , cixx67 , ,1512,Thimphu 
7/9/20 7:00, You xe2 x80 x99re more determined than ever to realize your dreams Inste More for Pisces https t co uojyhA9mo8 , LobzangYeshey1 , ,314,Thimphu 
7/9/20 6:36, xe2 x80 x98There aren xe2 x80 x99t many neighbors that can satisfactorily say that they know where their sovereignty ends and that CCP will respect that sovereignty It xe2 x80 x99s certainly true now for the people of Bhutan as well xe2 x80 x99 US Secy of State brings up Bhutan twice in his briefings Video sidhant https t co tMOjI79uZI https t co Z8SQQPCjWf , TenzingLamsang , ,23656,Thimphu 
7/9/20 6:24, A perspective on my book by and an interview with Brookings Institution https t co UrUCKTw1ry , sonamkinga , ,5349,Thimphu 
7/9/20 6:24, Only 25 actives cases as of today Still ZERO deaths and ZERO community transmission Thank you to everyone involved in ensuring this status for Bhutan xf0 x9f x99 x8f xf0 x9f x8f xbc , namgayzam , Bhutan ,22831,Thimphu 
7/9/20 6:09, BBW BFF Thank you THANK you , davidmhecht , ,490,Thimphu 
7/9/20 6:08, You added beauty and dimension to our lives EnnioMorricone Though you may have left this world your music never will xf0 x9f x8e xa7 xf0 x9f x92 x95 xf0 x9f x8e xbc https t co SjdRMz41Os , davidmhecht , EnnioMorricone music ,490,Thimphu 
7/9/20 5:53, hot n wet https t co VkK7ZgpCtA , SyedSaa1 , ,1572,Thimphu 
7/9/20 5:34, It definitely cost everything we have to follow Christ but salvation is free https t co rEjzMtVpPN , GenuineShadow , ,377,Thimphu 
7/9/20 5:12, Yesterday Ambassador reviewed progress of the hydropower sector with top Management hydropower is one of the key cooperation areas of the special relationship between Bhutan and India https t co GeYaiGxlHR , Indiainbhutan , ,10296,Thimphu 
7/9/20 4:09, maclane6 BoyWonderFC VintageArsanal There are people who give shitty opinion just bcos they hate the club , thinley707 , ,41,Thimphu 
7/9/20 3:54, I just told the UN Secretary General my solution for a better world is This pandemic COVID 19 has taught us many things which we ignored before Pl lets join together to end this All countries must act as one UN75 unitednations You can too , ChadoLingpa , UN75 ,11,Thimphu 
7/9/20 3:30, xf0 x9d x97 xaa xf0 x9d x97 xb5 xf0 x9d x97 xb6 xf0 x9d x97 xb0 xf0 x9d x97 xb5 xf0 x9d x97 xbc xf0 x9d x97 xbb xf0 x9d x97 xb2 xf0 x9d x97 xae xf0 x9d x97 xbf xf0 x9d x97 xb2 xf0 x9d x98 x86 xf0 x9d x97 xbc xf0 x9d x98 x82 Tell us in the comment section below For more info on eTeeru visit https t co CKCGwoAwNu TashiCell ePaymentsWitheTeeru https t co KfVOpFBlys , TashiCell , TashiCell ePaymentsWitheTeeru ,1749,Thimphu 
7/9/20 2:40, Oh BBC News Kanye West Presidential hopeful wants to run the White House like Wakanda https t co psnEEvGMXj , zhonba , ,1667,Thimphu 
7/9/20 1:48, good morning dear https t co 3RjULNt7Cy https t co lgtZcg6c4C , SyedSaa1 , ,1572,Thimphu 
7/9/20 1:45, good morning dear ha ha ha ha https t co f7N3kbw4T1 https t co WSY2txEqdn , SyedSaa1 , ,1572,Thimphu 
7/8/20 20:16, FplAdama That s too heartbreaking xf0 x9f xa5 xba , DeependraKoira5 , ,19,Thimphu 
7/8/20 20:11, Fantasy Plonker Next season xf0 x9f x98 x8f , DeependraKoira5 , ,19,Thimphu 
7/8/20 20:07, TheFPLviking That s heartbreaking xf0 x9f x98 xa5 , DeependraKoira5 , ,19,Thimphu 
7/8/20 18:50, Reuters Wrong benchmark , jimjatz , ,28,Thimphu 
7/8/20 18:26, Nothing like good City football to get my mind off a lot of things xf0 x9f x98 x82 manchestercity xf0 x9f x99 x8c xf0 x9f x8f xbc , namgayzam , manchestercity ,22831,Thimphu 
