2/12/20 5:39, good morning Manni https t co T0SvxUvtHH https t co MsGiWVIwMU , SyedSaa1 , ,1376,Thimphu 
2/11/20 8:02, You are in your own element making good use of today xe2 x80 x99s Earth More for Virgo https t co ytH6jMhay1 , czdorji , ,2216,Thimphu 
2/11/20 8:01, You take the lead today when the expressive Moon squares Mars More for Sagittarius https t co FfKav1h4Nc , kintsho bht , ,28,Thimphu 
2/11/20 8:01, Today you know the truth in your bones and long to share it wi More for Taurus https t co EECfQYA8HL , cixx67 , ,1492,Thimphu 
2/11/20 8:00, Proximity to a dear friend has become increasingly claustropho More for Pisces https t co uojyhA9mo8 , LobzangYeshey1 , ,301,Thimphu 
2/11/20 7:25, xf0 x9d x97 xa5 xf0 x9d x97 xb2 xf0 x9d x97 xb0 xf0 x9d x97 xb5 xf0 x9d x97 xae xf0 x9d x97 xbf xf0 x9d x97 xb4 xf0 x9d x97 xb6 xf0 x9d x97 xbb xf0 x9d x97 xb4 xf0 x9d x98 x86 xf0 x9d x97 xbc xf0 x9d x98 x82 xf0 x9d x97 xbf xf0 x9d x97 xbb xf0 x9d x98 x82 xf0 x9d x97 xba xf0 x9d x97 xaf xf0 x9d x97 xb2 xf0 x9d x97 xbf xf0 x9d x97 xb7 xf0 x9d x98 x82 xf0 x9d x98 x80 xf0 x9d x98 x81 xf0 x9d x97 xb4 xf0 x9d x97 xbc xf0 x9d x98 x81 xf0 x9d x97 xb2 xf0 x9d x97 xae xf0 x9d x98 x80 xf0 x9d x97 xb6 xf0 x9d x97 xb2 xf0 x9d x97 xbf Download MyTashiCell App and recharge any number using your bank account Now available in Google and Apple Store For more info call 7700 xf0 x9f x93 x9e T amp C apply TashiCell https t co Lbfi6SXKE5 , TashiCell , TashiCell ,1632,Thimphu 
2/11/20 7:18, God bless you https t co vRxy3fMpWf , SyedSaa1 , ,1376,Thimphu 
2/11/20 7:14, GOOD MORNING DEAR JOAN https t co wJLVGNJz3U https t co MVHYycnD28 , SyedSaa1 , ,1376,Thimphu 
2/11/20 6:40, AchuKhegpa Wheelchair unfriendly too Expensive avoidable mistakes , tsnamgyal , ,21,Thimphu 
2/11/20 6:30, Sun xe2 x98 x80 xef xb8 x8f day pool day https t co PXPkAwDbk0 , KuenzangL , ,205,Thimphu 
2/11/20 5:37, Drivers mighty might https t co Mvy5XWU7oQ , yogeshdahal , ,195,Thimphu 
2/11/20 5:07, Regional Conference Resilient Healthcare System for better management of Bio medical waste Antimicrobial Resistance and Climate xc2 xa0Change https t co 2IBUuxlUfC https t co tCRKEw3vbc , umsb123 , ,46,Thimphu 
2/11/20 4:26, Presentation on SMEs In Bhutan ppt download https t co aaGyVcnvh9 , sanrigs858 , ,63,Thimphu 
2/11/20 4:25, ghost fpl Name of the country is Bhutan , DeependraKoira5 , ,5,Thimphu 
2/11/20 4:23, Photo by Mahendra Timsina The great hornbill also known as the concave casqued hornbill great Indian hornbill or great pied hornbill is one of the larger members of the hornbill family birdwatching wildlife photography conserve beautiful earth acholala tours and travels https t co 0qGIa106g9 , AcholalaT , acholala tours and travels ,9,Thimphu 
2/11/20 4:21, In light of the outbreak of Coronavirus in China and its spread to other countries the Ministry of Information and Communications hereby issues the travel advisory to the general public Click here for more https t co BcuYQflgY2 https t co m0x31H6vNK , moafbhutan , ,410,Thimphu 
2/11/20 4:17, Twenty one livestock extension staffs from Sarpang and Dagana are attending a refresher course on Artificial Insemination AI and reproductive biotechnology https t co V2Vp6uFBz5 https t co V5p48nuBeB , moafbhutan , ,410,Thimphu 
2/11/20 4:14, Tsirang inaugurates a model poultry layer farm with a capacity of 500 birds was inaugurated at Pelrithang of Gosarling gewog on 7 February https t co Ot2795MQLW https t co a4FKX5Cm5r , moafbhutan , ,410,Thimphu 
2/11/20 4:09, The Royal Civil Service Commission is pleased to inform that the Review Phase deadline in the Max Online System for the civil servants following the financial year is extended to February 21 2020 to enable the employees to complete the review of IWP https t co ajNSfHgBw3 , moafbhutan , ,410,Thimphu 
2/11/20 4:09, Tender Quotation for Vehicle Rental Service https t co GM84V4t9QZ , moafbhutan , ,410,Thimphu 
2/11/20 4:08, The MoAF would like to invite proposal from interested and eligible Bhutanese Consultancy Firm for Conducting Techno economic feasibility study to develop a Cold Chain Logistics system for Organic Vegetables under DAMC https t co remiRg7lHx , moafbhutan , ,410,Thimphu 
2/11/20 4:06, Shortlisted candidates for Advisor and Specialist Head https t co M9QM6CzFhg , moafbhutan , ,410,Thimphu 
2/11/20 3:36, Tour of the Dragon above the clouds https t co iNtbMuDrlq via TTR Weekly , Chhimmy , ,1665,Thimphu 
2/11/20 3:34, What Bhutan can learn from Delhi xe2 x80 x99s education reform by AAP government Big lesson to our political parties as well So far our story has been an eye wash We need concrete statistics of palpable change Not rash and rushed policies https t co JAkPSYduQs , Khampaa , ,3846,Thimphu 
2/11/20 3:24, FamedChris What can I do after hacking MadCity scripts Cause I ve done that already xf0 x9f x98 x8e , uchiha soma , ,4,Thimphu 
2/11/20 2:56, MUSTDIEmusic Bro what s the name of your sample packs I really need it , Xiao920 , ,66,Thimphu 
2/11/20 2:54, OfficialRezz Good Morning Rezz , Xiao920 , ,66,Thimphu 
2/11/20 2:51, SPAGHEDDY Happy Tuesday bro xf0 x9f x99 x82 , Xiao920 , ,66,Thimphu 
2/11/20 2:40, Scientists race to develop vaccine for new coronavirus https t co RQ57quYWJ9 , gasebtandin , ,2278,Thimphu 
2/11/20 2:38, China coronavirus death toll breaches 1 000 https t co qLppKCLu2S , gasebtandin , ,2278,Thimphu 
2/11/20 2:10, Important election results from Delhi state elections today that will be a barometer on mood of Indian public amp have an impact on Indian politics at the national level Delhi should ideally be BJP xe2 x80 x99s hunting grounds with huge Hindu middle class amp trader population DelhiResults , TenzingLamsang , DelhiResults ,18620,Thimphu 
2/11/20 1:41, good morning xda x86 xd9 x88 xd8 xa6 xd8 xb5 xd8 xa7 xd8 xa8 pls brush your beautiful teeth pls have glass of milk thank you https t co 6mPVkGHjMV https t co o70YRuVHGt , SyedSaa1 , ,1376,Thimphu 
2/11/20 1:39, What about this if you are surrounded by negative people Change your water Change your life Thimphu Bhutan https t co QmzsYCWJCW , MasterTshewang , ,145,Bhutan 
2/10/20 23:36, AishaLUMS very good morning dear xda x86 xd9 x88 xd8 xa6 xd8 xb5 xd8 xa7 xd8 xa8 xdb x94 https t co 9W2mvdk8jV , SyedSaa1 , ,1376,Thimphu 
2/10/20 23:24, AishaLUMS good morning xda x86 xd9 x88 xd8 xa6 xd8 xb5 xd8 xa7 xd8 xa8 xdb x94 plz brush your beautiful teeth apply lotion on your hands and beautiful feet have glass of milk https t co fXmQli1SwP , SyedSaa1 , ,1376,Thimphu 
2/10/20 18:54, beauties in Saree https t co oIh3c9kq46 , SyedSaa1 , ,1376,Thimphu 
2/10/20 18:44, i m also from Karachi https t co KYnZQhrJPM , SyedSaa1 , ,1376,Thimphu 
2/10/20 18:36, My hyper rational and clinical thinking has got me to a trouble or two , sandeeps13 , ,270,Thimphu 
2/10/20 18:12, my pet my TowTow https t co 75Jmzin1OE https t co tOb3thb18a , SyedSaa1 , ,1376,Thimphu 
2/10/20 18:10, good night Aliya sweet dreams https t co AFy6Q7L26z https t co kEMIzv84S5 , SyedSaa1 , ,1376,Thimphu 
2/10/20 17:52, ghost fpl From Bhutan in the city of Thimphu , DeependraKoira5 , ,5,Thimphu 
2/10/20 17:28, regarding https t co 1cLapaaRln , SyedSaa1 , ,1376,Thimphu 
2/10/20 17:28, good night https t co eJZDb7V1wm https t co dVQqkG1pWy , SyedSaa1 , ,1376,Thimphu 
2/10/20 16:00, This week s featured accommodation is Mountain Lodge located in Bumthang Rent accommodations in Bhutan here https t co 9TkCjTCxiG Leave a comment below with which district in Bhutan you xe2 x80 x99d like to see the next Accommodation of the Week MyBhutanAccommodations https t co dmVxTShSz3 , MyBhutan , Bhutan MyBhutanAccommodations ,935,Thimphu 
2/10/20 14:31, CDK is a sustainable fashion line that gives modern interpretation to traditional Bhutanese designs CDK creates contemporary silhouettes using handloom fabrics with Bhutanese motifs and textile Visit their store xe2 x80 xa6 https t co RFXSMj3bmC , duptshering6 , ,426,Bhutan 
2/10/20 14:28, SchwiftyStudios I hacked madcity scripts haha , uchiha soma , ,4,Thimphu 
2/10/20 13:49, New episode of GoodPracticesBhutan airs on BBS1 5 30pm This time it xe2 x80 x99s good practices in waste management inclucing personal tips ft CleanBhutan au Nedup amp Greener Way xe2 x80 x9ctrash man xe2 x80 x9d Karma Yonten The show is brought to you by Perfect Enterprise https t co iqDuhdCghN , namgayzam , GoodPracticesBhutan ,20747,Thimphu 
2/10/20 12:42, Loved the vid JustinBieber Intentions ft Quavo https t co TAHNWBwsmu via YouTube , tenzinbhutan , JustinBieber ,119,Thimphu 
2/10/20 11:42, 2 2 So even if you have none of the above be grateful that you have the greatest prize and treasure above all in your family P S Took longer than usual to write this with my 4 yr old riding my neck and trying all his wrestling moves on me , TenzingLamsang , ,18620,Thimphu 
2/10/20 11:41, 1 2 One thing about the Oscars that always gets me The winners have achieved the golden trifecta of fame professional excellence and wealth but the heart of their thank you speech mostly focuses on their family and how it is all for them , TenzingLamsang , ,18620,Thimphu 
2/10/20 11:31, There is some tension between your need for security and a des More for Capricorn https t co p6mL9a2MGB , yiwangpindarica , ,6938,Thimphu 
2/10/20 11:23, When I was 17 my brother wrote this lyrics He said Run to the rescue of love and peace will follow at Oscars 2020 Joaquin Phoenix , WangdiKheta , ,135,Thimphu 
2/10/20 11:15, PMBhutan explains the SDF levy amp BBIN stand in an interview with suhasinih https t co P61x4XeTfU , TenzingLamsang , ,18620,Thimphu 
2/10/20 10:41, Good job on this one govt xf0 x9f x91 x8f xf0 x9f x91 x8f https t co cm5GqKGgVi , TenzingLamsang , ,18620,Thimphu 
2/10/20 9:47, If China would accept me I want to go there with some rice cow butter some firewood and a match box May the boarder police allow me in I am a science teacher but for a short period I am a fire ritualist If I return that will be when Corona virus is eradicated , ragusubedi , ,1010,Thimphu 
2/10/20 9:14, The Bhutan Olympic Committee BOC signed a Memorandum of Understanding MoU with Bhutan Philanthropic Venture Pvt Ltd BPV on 7th February 2020 BPV will be the official travel partner of Bhutan International Marathon an annual international marathon event conducted by BOC https t co IpaPZTIGzn , BhutanOlympic , ,795,Thimphu 
2/10/20 8:02, You are bemused by your relationships today as your best frien More for Virgo https t co ytH6jMhay1 , czdorji , ,2216,Thimphu 
2/10/20 8:01, You can showcase your talent in a public arena today bringing More for Sagittarius https t co FfKav1h4Nc , kintsho bht , ,28,Thimphu 
2/10/20 8:01, You have an opportunity to bring your creations and ideas befo More for Taurus https t co EECfQYA8HL , cixx67 , ,1492,Thimphu 
2/10/20 8:00, A balance must be struck in your relationships and friendships More for Pisces https t co uojyhA9mo8 , LobzangYeshey1 , ,301,Thimphu 
2/10/20 7:28, priyadarshic Content is King , TenzingLamsang , ,18620,Thimphu 
2/10/20 7:21, god bless you https t co QxuozOTW4y , SyedSaa1 , ,1376,Thimphu 
2/10/20 7:08, good morning dear Noriko https t co yAHRISxWwx https t co pogbqKWZfa , SyedSaa1 , ,1376,Thimphu 
2/10/20 7:02, beautiful cute teeth n lips https t co wqHJb26gHv https t co wh22ddca6d , SyedSaa1 , ,1376,Thimphu 
2/10/20 6:28, TheEllenShow billieeilish yeah , Tensay52520578 , ,1,Thimphu 
2/10/20 6:23, BBCBreaking BBCNews Joker finally got accepted , Tensay52520578 , ,1,Thimphu 
2/10/20 6:21, BBCBreaking BBCNews well deserved , Tensay52520578 , ,1,Thimphu 
2/10/20 6:14, BarackObama This is very inspiring , Tensay52520578 , ,1,Thimphu 
2/10/20 6:14, johnlegend Love Luna , Tensay52520578 , ,1,Thimphu 
2/10/20 5:49, This is not done and especially in a women xe2 x80 x99s college in Delhi I think even UP and Bihar would not see this level of brazenness https t co CLqrL8zRfA , TenzingLamsang , ,18620,Thimphu 
2/10/20 5:42, Singapore and Japan are now new international hotspots for the virus China xe2 x80 x99s quarantines and lockdowns clearly having an effect , sandeeps13 , ,270,Thimphu 
2/10/20 5:39, Asking the Right Question is important Has the recent epidemic in Wuhan and the broader world let to a uptick in sales of the Corona Beer Or a dip in sales , sandeeps13 , ,270,Thimphu 
2/10/20 5:07, Air Ticket Quotation https t co fK47t02QlW , moafbhutan , ,410,Thimphu 
2/10/20 5:07, Shortlisted Candidates for Chief Dzongkhag Agriculture Officer https t co dpD1t1W5SV , moafbhutan , ,410,Thimphu 
2/10/20 3:41, what is your question https t co IkozhgtX0I , SyedSaa1 , ,1376,Thimphu 
2/10/20 3:36, Photo by Mahendra Timsina The great barbet is an Asian barbet native to the Indian sub continent and Southeast Asia where it inhabits foremost forests up to 3 000 m altitude birding birding bhutan birdwatching wildlife birds conserve earth asia acholala tours and travels https t co Oe6gPlp3YZ , AcholalaT , acholala tours and travels ,9,Thimphu 
2/10/20 3:10, New study an eye opener on how coronavirus is spreading and how little we know CNN https t co cqtr9oEayT , dawapenjor , ,1245,Thimphu 
2/10/20 3:00, New study an eye opener on how coronavirus is spreading and how little we know https t co OGPOLxjUTY , gasebtandin , ,2278,Thimphu 
2/10/20 2:53, The number of people killed by the new coronavirus rose by 97 on Sunday the highest number of casualties in a day https t co vqXkdX3Uxi , gasebtandin , ,2278,Thimphu 
2/10/20 1:57, HelloItsVG Bro you raised my hopes xf0 x9f x98 x82 , uchiha soma , ,4,Thimphu 
2/10/20 0:39, AishaLUMS good morning my dear xda x86 xd9 x88 xd8 xa6 xd8 xb5 xd8 xa7 xd8 xa8 pls brush your beautiful teeth apply lotion on your beautiful hands n feet have glass of milk https t co s10ajh9wPu , SyedSaa1 , ,1376,Thimphu 
2/9/20 21:42, SRWhitaker13 SimsCreatorsCom No its in Louisiana but I m looking to do one from Savannah any suggestions , Bu773rf1y8 , ,1,Thimphu 
2/9/20 20:46, TheSims4 Gallery Gothic victorian gym pool and spa jacuzzi hottub gazebo ForgottenHollow ShowUsYourBuilds https t co oG8JG8LyC9 , Bu773rf1y8 , TheSims4 Gothic victorian gym pool spa jacuzzi hottub gazebo ForgottenHollow ShowUsYourBuilds ,1,Thimphu 
2/9/20 19:13, BlessedMonk Walk away from anything that gives you bad vibes This is your life There is no need to explain yourself to anyone What s meant to be will be Do what makes you happy and do it for the rest of your life THANKYOU xe2 x9d xa4 , YBhutanese , THANKYOU ,188,Thimphu 
2/9/20 18:27, umarket gadventures Omg looking so good xe2 x9d xa4 , YBhutanese , ,188,Thimphu 
2/9/20 18:26, 80daysbot Always welcome , YBhutanese , ,188,Thimphu 
2/9/20 18:19, leotrixofficial True , Xiao920 , ,66,Thimphu 
2/9/20 18:14, sanholobeats Even if it makes me blind I just wanna see the light xf0 x9f xa5 xb0 xe2 x9d xa4 xef xb8 x8f , Xiao920 , ,66,Thimphu 
2/9/20 18:00, Festival fever is back Plan your trip to Bhutan so you can join us in the festivities MyBhutanFestival FestivalFever https t co pzO6h7UHQw , MyBhutan , Bhutan MyBhutanFestival FestivalFever ,935,Thimphu 
2/9/20 17:34, The Farewell Dinner Good Friends Prayers for The Best BMT Happiness House https t co WFs4HzBqmj , bhutan majestic , ,1134,Thimphu 
2/9/20 17:26, Welcome to Bhutan xf0 x9f x87 xa7 xf0 x9f x87 xb9 Dinner at The Pema by Realm for Ms Lakshmi from United States xf0 x9f x87 xba xf0 x9f x87 xb8 Thank you for choosing us as your local partner and we hope you have a very memorable holiday in Happiness Kingdom Thank you The xe2 x80 xa6 https t co rRj3tnz3nc , bhutan majestic , ,1134,Thimphu 
2/9/20 17:22, zaroor but you cant afford her my turkish breed jojo https t co j7dEZhkTnh https t co AZceuMZLnS , SyedSaa1 , ,1376,Thimphu 
2/9/20 17:17, my towtow https t co KVOhmGEwUI https t co YB1XMPRIQx , SyedSaa1 , ,1376,Thimphu 
2/9/20 17:15, i m not scared I m in love https t co UDlI9qDK6o , SyedSaa1 , ,1376,Thimphu 
2/9/20 17:01, bnewsservice Bullshits , thnchox , ,6,Thimphu 
2/9/20 16:24, telegram any plans for video call feature , younten , ,112,Thimphu 
2/9/20 14:52, Photo by Mahendra Timsina The golden fronted leafbird is a species of leafbird It is found from the Indian subcontinent and south western China to south east Asia and Sumatra This species eats insects and berries birding birding bhutan acholala tours and travels https t co JQtLCORhvA , AcholalaT , acholala tours and travels ,9,Thimphu 
2/9/20 13:41, Best time to visit Bhutan https t co tBy1hYSAkq Bhutan VisitBhutan2020 Buddhapoint Kuenselphodrang traveltips tours vacation holiday AttractionsinBhutan Bhutantourism https t co eQdp6RpYGN , worldtourplan09 , Bhutan VisitBhutan2020 Buddhapoint Kuenselphodrang traveltips tours vacation holiday AttractionsinBhutan Bhutantourism ,197,Thimphu 
2/9/20 13:26, cheap https t co ocmYL3mO1j , SyedSaa1 , ,1376,Thimphu 
2/9/20 13:21, the mid one https t co qcXIQAt9ZG , SyedSaa1 , ,1376,Thimphu 
2/9/20 11:31, The Full Moon in your 8th House of Regeneration casts a spell More for Capricorn https t co p6mL9a2MGB , yiwangpindarica , ,6938,Thimphu 
2/9/20 10:55, gauravpramanik Melbourne ma for studies sick of subways and bun , ayand17 , ,28,Thimphu 
2/9/20 8:51, ethanjacobslaw David Risney Think I can handle the half of 1 30 mns , Kradoukiel , ,122,Thimphu 
2/9/20 8:18, never be a back bencher but did this act daily in the class https t co RCGPGsEoYG , SyedSaa1 , ,1376,Thimphu 
2/9/20 8:15, good morning dear Olga https t co qzOQjppSeV https t co fkEvyI7Rrr , SyedSaa1 , ,1376,Thimphu 
2/9/20 8:02, You ll feel a strong pull to withdraw and tap into your imagin More for Virgo https t co ytH6jMhay1 , czdorji , ,2216,Thimphu 
2/9/20 8:01, You greet the day with a spirit of adventure ready to make da More for Sagittarius https t co FfKav1h4Nc , kintsho bht , ,28,Thimphu 
2/9/20 8:01, You could reach a pivotal moment in your personal life today More for Taurus https t co EECfQYA8HL , cixx67 , ,1492,Thimphu 
2/9/20 8:00, Work will undergo some dramatic changes thanks to today xe2 x80 x99s Full More for Pisces https t co uojyhA9mo8 , LobzangYeshey1 , ,301,Thimphu 
2/9/20 6:29, Delhi chooses Arvin xe2 x80 x99s Kejriwal Again BJP gains but power out of reach predicts Poll of Polls https t co xdb30kvsEy , gasebtandin , ,2278,Thimphu 
2/9/20 6:16, Coronavirus deaths exceed Sars fatalities in 2003 https t co H3hOY5nhoK , gasebtandin , ,2278,Thimphu 
2/9/20 6:15, Independent Spirit Awards The Farewell s Lulu Wang wins for best film https t co krY8A54cSx , gasebtandin , ,2278,Thimphu 
2/9/20 6:08, Join me dear https t co xcJUz8T2hK https t co 7v8Z77GZUj , SyedSaa1 , ,1376,Thimphu 
2/9/20 5:40, good morning my dear Sandra happy Sunday https t co 1LhyRUGweW https t co sswiRmbl7Q , SyedSaa1 , ,1376,Thimphu 
2/9/20 5:12, Thai soldier who went on deadly shooting rampage killed https t co YC0dSeJfYJ , gasebtandin , ,2278,Thimphu 
2/9/20 3:28, Thank you beautiful ladies of mine really we got new name xf0 x9f x98 x81 The Four xe2 x9d xa4 Our Day iMerit https t co x2zI3x2A1M , penchu171 , The Four Our Day iMerit ,6,Thimphu 
2/9/20 2:49, beautiful Joan https t co AQFKvF5f0A , SyedSaa1 , ,1376,Thimphu 
2/9/20 0:19, gauravpramanik Missing food back home big time And your posts are making me xf0 x9f xa5 xba , ayand17 , ,28,Thimphu 
